토지(임야) 소재지
충북 단양군 적성면 상리 산86-1 일원 
충북 제천시 덕산면 월악리 산1-1 등 일원
충북 제천시 덕산면 월악리 산1-1 등 일원
충북 충주시 수안보면 사문리 산23-70 일원
충북 단양군 대강면 괴평리 산44 일원
전남 영암군 영암읍 개신리 산89-1 등 일원
전남 영암군 군서면 도갑리 산56-1 등 일원
전남 강진군 성전면 월하리 산184-1 등 일원
전남 영암군 군서면 도갑리 산56-2 일원
전남 영암군 영암읍 산26-1 일원
경북 청송군 주왕산면 상의리 산8-1 등 일원
경북 청송군 주왕산면 주산지리 산41-1 등 일원
경북 청송군 주왕산면 상의리 산8-1 일원
경북 청송군 주왕산면 주산지리 산41-1 등 일원
전남 구례군 토지면 문수리 산231 일원
전남 구례군 산동면 위안리 산216 등 일원
전남 구례군 마산면 황전리 산20-46 등 일원
전남 구례군 광의면 방광리 산72 일원
전남 구례군 광의면 방광리 산1-18 등 일원
전남 구례군 산동면 좌사리 산110-1~2 등 일원
"경남 산청군 시천면 내대리 산325 일원,"
경남 함양군 마천면 강청리 산100 일원
경남 산청군 삼장면 대포리 산167-1 등 일원
경남 산청군 시천면 중산리 산208 등 일원
경남 산청군 삼장면 유평리 산51 등 일원
경남 하동군 화개면 범왕리 산372 등 일원
경남 함양군 마천면 추성리 산100 일원(비선담통제소~상원교 구간 탐방로 제외)
경남 함양군 마천면 추성리 산100 일원
경남 산청군 삼장면 유평리 산51 일원
경남 산청군 삼장면 유평리 산3-1 일원
"전북 남원시 산내면 부운리 산120 일원,"
전북 남원시 산내면 덕동리 산215 일원
전북 남원시 산내면 부운리 산120 일원
전북 남원시 산내면 덕동리 산215 일원
전북 남원시 산내면 부운리 산120 등 일원
"전북 남원시 산내면 부운리 산120 일원,"
전북 남원시 산내면 덕동리 산215 일원
전북 남원시 산내면 덕동리 산215-16 등 일원
전북 남원시 산내면 덕동리 산215 일원
강원 원주시 신림면 성남리 산191 등 일원
강원 원주시 소초면 흥양리 산1 등 일원
강원 횡성군 강림면 부곡리 1071 등 일원
강원 원주시 신림면 성남리 산160 일원
강원 횡성군 강림면 부곡리 산 147-1 등 일원
충남 태안군 고남면 장곡리 산17-43 일원
"충남 태안군 근흥면 가의도리 산68, 공유수면(암반) 일원"
충남 태안군 안면읍 창기리 560-1 일원
"충남 태안군 근흥면 가의도리 509, 공유수면(암반) 일원"
"충남 태안군 근흥면 가의도리 산69,"
공유수면(암반) 일원
"충남 태안군 안면읍 정당리 1317~1320, 공유수면 일원"
"충남 태안군 소원면 파도리 1391, 1394,1395, 산217, 산218, 공유수면 일원"
충남 태안군 고남면 장곡리 423-11 등 일대 공유수면 일원
경남 거제시 동부면 학동리 산125 등 일원
"경남 통영시 한산면 매죽리 산54, 산54-1~3, 산54-6, 산54-7, 공유수면(암반) 일원 "
"경남 거제시 남부면 갈곶리 산1, 공유수면(암반) 일원"
"경남 거제시 남부면 다포리 산22, 공유수면(암반) 일원 "
"경남 거제시 남부면 다포리 산43,"
"산66, 공유수면(암반) 일원"
"경남 거제시 남부면 다포리 산46, 공유수면(암반) 일원"
"경남 통영시 한산면 매죽리 산55-1~5 등, 공유수면(암반) 일원"
"경남 거제시 둔덕면 술역리 산124-1 등, 공유수면(암반) 일원"
"경남 통영시 인평동 산25, 공유수면(암반) 일원"
"경남 남해군 이동면 신전리 산116-2, 산130 일원"
"경남 남해군 이동면 신전리 산116-2, "
산116-80 일원
경남 남해군 이동면 신전리 산116-2 일원
경남 남해군 상주면 상주리 산258 등 일원
경남 남해군 고현면 차면리 일대 공유수면
경남 남해군 상주면 상주리 산257-1 일원
"경남 사천시 신수동 산4, 공유수면(암반) 일원"
"경남 사천시 신수동 산5, 공유수면(암반) 일원"
"경남 사천시 신수동 산33-2, 공유수면(암반) 일원"
"경남 남해군 상주면 상주리 산444, 공유수면(암반) 일원"
"경남 남해군 상주면 상주리 산442, 공유수면(암반) 일원 "
강원 태백시 창죽동 산 1-1 등 일원 
